NAMESPACE,PRODUCT,IGNORED,IGNORED_REASON,COLLECTIONS
ADMINEXPRESS-COG-CARTO-PE.2025,ADMINEXPRESS-COG-CARTO-PE,true,Using ADMINEXPRESS-COG instead,"arrondissement|arrondissement_municipal|canton|chef_lieu_de_commune|chef_lieu_d_arrondissement|chef_lieu_d_arrondissement_municipal|chef_lieu_de_collectivite_territoriale|chef_lieu_de_commune_associee_ou_deleguee|chef_lieu_de_departement|chef_lieu_de_region|collectivite_territoriale|commune|commune_associee_ou_deleguee|departement|epci|region"
ADMINEXPRESS-COG-CARTO-PE.2026,ADMINEXPRESS-COG-CARTO-PE,true,Using ADMINEXPRESS-COG instead,"arrondissement|arrondissement_municipal|canton|chef_lieu_de_commune|chef_lieu_d_arrondissement|chef_lieu_d_arrondissement_municipal|chef_lieu_de_collectivite_territoriale|chef_lieu_de_commune_associee_ou_deleguee|chef_lieu_de_departement|chef_lieu_de_region|collectivite_territoriale|commune|commune_associee_ou_deleguee|departement|epci|region"
ADMINEXPRESS-COG-CARTO-PE.LATEST,ADMINEXPRESS-COG-CARTO-PE,true,Using ADMINEXPRESS-COG instead,"arrondissement|arrondissement_municipal|canton|chef_lieu_de_commune|chef_lieu_d_arrondissement|chef_lieu_d_arrondissement_municipal|chef_lieu_de_collectivite_territoriale|chef_lieu_de_commune_associee_ou_deleguee|chef_lieu_de_departement|chef_lieu_de_region|collectivite_territoriale|commune|commune_associee_ou_deleguee|departement|epci|region"
ADMINEXPRESS-COG-CARTO.LATEST,ADMINEXPRESS-COG-CARTO-PE,true,Using ADMINEXPRESS-COG instead,"arrondissement|arrondissement_municipal|canton|chef_lieu_d_arrondissement|chef_lieu_d_arrondissement_municipal|chef_lieu_d_epci|chef_lieu_de_canton|chef_lieu_de_collectivite_territoriale|chef_lieu_de_commune_associee_ou_deleguee|chef_lieu_de_departement|chef_lieu_de_region|chef_lieu_de_commune|collectivite_territoriale|commune|commune_associee_ou_deleguee|departement|epci|region"
ADMINEXPRESS-COG.2017,ADMINEXPRESS-COG,false,,"arrondissement_departemental|chef_lieu|commune|departement|epci|region"
ADMINEXPRESS-COG.2018,ADMINEXPRESS-COG,false,,"arrondissement_departemental|chef_lieu|commune|departement|epci|region"
ADMINEXPRESS-COG.2019,ADMINEXPRESS-COG,false,,"arrondissement_departemental|chef_lieu|commune|departement|epci|region"
ADMINEXPRESS-COG.2020,ADMINEXPRESS-COG,false,,"arrondissement_departemental|arrondissement_municipal|canton|chef_lieu|chef_lieu_entite_rattachee|commune|departement|epci|region"
ADMINEXPRESS-COG.2021,ADMINEXPRESS-COG,false,,"arrondissement|arrondissement_municipal|canton|chef_lieu_arrondissement_municipal|chef_lieu_commune_associee_ou_deleguee|chef_lieu_commune|collectivite_territoriale|commune|commune_associee_ou_deleguee|departement|epci|region"
ADMINEXPRESS-COG.2022,ADMINEXPRESS-COG,false,,"arrondissement|arrondissement_municipal|canton|chef_lieu_arrondissement_municipal|chef_lieu_commune_associee_ou_deleguee|chef_lieu_commune|collectivite_territoriale|commune|commune_associee_ou_deleguee|departement|epci|region"
ADMINEXPRESS-COG.2023,ADMINEXPRESS-COG,false,,"arrondissement|arrondissement_municipal|canton|chef_lieu_arrondissement_municipal|chef_lieu_commune_associee_ou_deleguee|chef_lieu_commune|collectivite_territoriale|commune|commune_associee_ou_deleguee|departement|epci|region"
